label,group,x,y
<v>,soft,-0.14839736,-0.05217619
green light,important,0.7051964998245239,-0.22403274476528168
stop sign,important,-0.09038687497377396,0.2774718701839447
departing after stop,important,-0.2726166844367981,0.3063719570636749
cooking,distractor,-0.385704904794693,-0.14126214385032654
galaxy,distractor,-0.3389882743358612,-0.30492985248565674
left turn,important,0.21540500223636627,0.6872984170913696
abstract art,distractor,-0.20832373201847076,-0.27900829911231995
red light,important,0.6910992860794067,-0.25763970613479614
going straight,important,-0.10292209684848785,0.06661462783813477
green left turn signal,important,0.3539840281009674,0.5072866678237915
random token,distractor,-0.30362966656684875,-0.20138594508171082
jazz music,distractor,-0.14857760071754456,-0.2586004436016083
yellow light,important,0.5984861850738525,-0.3191129267215729
entered later,important,-0.14927983283996582,0.2697894871234894
pedestrian crossing,important,-0.4153438210487366,-0.07668476551771164
