phrase,group,n_subwords,cosine,dot
going straight,important,2,0.02364460751414299,0.027226150035858154
left turn,important,2,0.028289131820201874,0.03136115148663521
right turn,important,2,0.014051495119929314,0.01573040708899498
u turn,important,2,-0.004234641790390015,-0.006079121492803097
lane change,important,2,0.0032134652137756348,0.0027915937826037407
simultaneous lane change,important,3,-0.00022999818611424416,-0.0014466916909441352
following vehicle,important,2,-0.002966884523630142,-0.0038750674575567245
facing each other,important,3,-0.008824785239994526,-0.008314039558172226
departing after stop,important,3,0.02520204521715641,0.0292064156383276
safety zone,important,2,0.014000928960740566,0.016300294548273087
main road,important,2,0.006567325443029404,0.006443485617637634
side road,important,2,-0.019015442579984665,-0.019237414002418518
left road,important,2,-0.0024823136627674103,-0.0011168532073497772
right road,important,2,-0.01671995036303997,-0.016747597604990005
left lane,important,2,0.0055092498660087585,0.005303128622472286
right lane,important,2,-0.008728386834263802,-0.010327616706490517
left side of lane,important,4,0.007794113829731941,0.00694360351189971
right side of lane,important,4,0.0006752945482730865,-0.0008717691525816917
green light,important,2,0.03727643936872482,0.04077506810426712
yellow light,important,2,0.01972336694598198,0.0225770715624094
red light,important,2,0.023477770388126373,0.026539895683526993
green left turn signal,important,4,0.019281337037682533,0.020882105454802513
pedestrian crossing,important,2,0.017029818147420883,0.020372964441776276
stop sign,important,2,0.03488139435648918,0.041923947632312775
entered earlier,important,2,-0.0049541122280061245,-0.005014014430344105
entered later,important,2,0.01835397072136402,0.01864049583673477
banana,distractor,1,-0.020845267921686172,-0.028437849134206772
unicorn,distractor,1,0.0020157690159976482,0.0027416194789111614
microwave,distractor,1,-0.001141166314482689,-0.0017334949225187302
weather,distractor,1,0.01084018312394619,0.013445671647787094
education,distractor,1,0.010725465603172779,0.010676686652004719
computer,distractor,1,-0.03115004673600197,-0.03298616036772728
coffee,distractor,1,-0.004418030381202698,-0.0046844482421875
universe,distractor,1,-0.0011821826919913292,-0.0014043152332305908
abstract art,distractor,2,0.023993130773305893,0.0291125550866127
random token,distractor,2,0.020199371501803398,0.02720748633146286
river,distractor,1,-0.006418238393962383,-0.006369899958372116
castle,distractor,1,0.009472697973251343,0.00973660871386528
airplane,distractor,1,-0.005086548626422882,-0.006459316238760948
galaxy,distractor,1,0.033035799860954285,0.04496975243091583
software,distractor,1,-0.010281957685947418,-0.010605196468532085
biology,distractor,1,0.004477843642234802,0.005280589684844017
cooking,distractor,1,0.0350591242313385,0.04385530203580856
basketball,distractor,1,0.015685560181736946,0.016974076628684998
waterfall,distractor,1,0.016132840886712074,0.02103608287870884
mountain,distractor,1,0.005602974910289049,0.005886974278837442
smartphone,distractor,1,-0.008635297417640686,-0.011861134320497513
jazz music,distractor,2,0.021116120740771294,0.023349400609731674
knitting,distractor,1,0.00472825113683939,0.007295161485671997
astronomy,distractor,1,0.0009585320949554443,0.0012530554085969925
